gage,area_sqkm
01100505,42.735
01140600,21.238
01104430,17.767
01126950,137.269
01209005,89.614
01026000,80.29
01022000,650.087
01033000,841.747
01035500,73.815
01039000,1833.713
01096500,1126.646
01128500,214.969
01179500,416.988
01449800,249.675
04279000,606.058
01380000,12.743
01396800,106.967
01432000,590.518
01578310,70188.729
01417000,963.476
01592500,341.879
01350101,818.437
01374701,208.235
01374941,51.023
01381000,308.209
01429000,154.622
01547500,878.007
01568500,58.275
02032515,670.807
01407500,127.428
01312000,497.278
02086500,435.118
02090500,611.238
02079500,20372.861
211139110,950.526
02136361,11.007
208718210,1996.882
02096000,114.478
02072000,556.848
02098200,4374.493
02197380,90.391
02077660,136.492
02232000,2507.11
02318000,1494.424
02234500,6687.354
02234435,404.038
02268903,4162.114
02232413,134.679
02298805,567.208
02313230,5231.78
02237522,924.626
02243960,7114.703
02303300,155.399
02308889,36.26
02381500,968.656
02444160,14892.442
02358000,44547.828
02335815,3548.286
02423410,110.593
02428400,55614.855
02462951,10927.168
04268600,135.197
04097970,45.325
04036000,419.578
04102000,10569.749
04108500,4143.984
04211000,179.227
04041500,896.137
04066030,8262.068
04132000,1546.224
04134500,378.139
04257000,442.888
04261000,362.599
04062230,502.458
04161800,176.637
04202500,543.898
04234061,4050.744
04253500,142.449
04261500,440.298
03020000,1240.605
03042250,130.535
03077500,1129.236
03120500,125.097
03242350,619.008
03330241,127.687
03417000,2424.231
03130000,562.028
03142295,411.808
03228500,492.098
03228805,315.979
03230900,717.427
03332605,4636.082
03332500,4485.863
03426310,30232.953
03011550,73.815
03058000,261.589
03092460,211.602
03091500,707.067
03090500,642.318
03151520,422.168
03128500,184.148
03143500,2180.772
03141500,305.619
03232470,1476.294
03209000,572.388
03208000,1015.276
03260502,258.74
03286200,1137.006
03306000,1766.373
03330500,292.669
03340900,574.978
03359000,761.457
03494000,8881.076
03448960,57.239
03466500,3066.548
03543005,44832.727
03609500,104117.598
03535912,8658.337
03594415,41.181
54240957,31.883
05453520,8067.819
05344490,19813.423
05211000,8728.266
05270170,960.886
05390680,11.629
05429120,15.54
424848088083100,102.564
05429500,846.927
05362500,12121.153
05216860,295.259
05292000,3004.388
05357215,21.834
05357500,1610.974
05357245,119.658
05367102,183.371
05367202,391.088
05417500,898.727
05392070,75.628
05393000,1408.955
05390101,89.096
05421000,2714.31
05424082,1323.485
05428500,608.648
05548164,8.858
05544200,191.918
05586686,29.733
05531044,134.42
05573500,2395.741
05403043,264.179
07285000,3418.787
07357000,2848.989
07359910,1243.195
07275000,1450.394
07278500,2589.99
07360501,613.828
05125500,466.198
05123100,152.809
05056340,828.797
05074500,5050.48
05127230,256.409
05129000,1250.965
06923950,1548.814
06641000,27718.073
06865500,20349.551
06701500,4537.662
06713000,997.146
06751150,916.856
06604100,195.803
06912500,833.977
06010000,613.828
06228450,242.164
05013700,450.658
06058000,41165.301
06094500,196.062
06453000,682462.365
06012500,1465.934
06020600,1541.044
06136700,8805.966
06338490,469824.186
06401500,23561.139
06410000,238.797
06346500,4428.883
06455500,3781.385
07170060,1642.054
07148140,120033.087
07331600,102874.403
07251000,192.177
07302000,6459.435
07353520,208.235
07168500,1515.144
07191288,929.806
07299850,1183.625
07263300,354.829
07150500,8293.148
07171400,11237.967
07170700,95.83
07177410,916.856
07206000,432.528
07241000,34946.735
07312100,5402.719
07341301,10668.169
08057300,258.999
08045500,5314.659
08123500,512.818
08067610,1152.546
08284500,499.868
08404000,46827.019
09129500,185.184
09311500,401.448
09096000,62.419
09019000,808.077
09015000,492.098
09021000,347.059
09080200,585.338
09109000,657.857
09131500,665.627
09302400,50.505
09291000,290.079
09353500,699.297
09418300,116.55
09500500,15084.102
09418200,88.06
09384600,2046.092
09427520,473191.173
10191500,6322.166
10328500,2020.192
10132500,318.569
10134500,372.959
10337500,1313.125
10020300,2030.552
10159500,1416.725
10219000,13377.298
10216210,1740.473
10335000,41698.839
10336715,7.407
10344500,448.068
10293000,929.806
13042500,1297.585
10402000,5568.478
12402500,173.011
12468500,821.027
14063300,26.159
14147000,78.995
12111500,33.67
12333000,78.477
12417610,9582.963
12479000,525.768
13039500,245.013
13202000,6956.713
14054000,657.857
14060000,157.212
12043150,200.724
14313500,440.298
14312500,139.6
12122010,264.179
13011000,2090.122
13244000,1590.254
14208700,140.895
12397100,133.384
12452500,2393.151
12474500,141.672
13174500,541.308
13236500,282.309
13273000,800.307
13327500,131.83
13349500,1354.565
14056500,1250.965
14220500,1893.283
14186700,1276.865
12203500,145.298
12057500,242.682
12026000,159.802
13217500,1139.596
14225500,49.728
11436000,39.368
11441000,214.969
11299500,2343.941
11507500,9867.862
11432500,39.109
11244000,131.571
11292615,595.698
11315500,85.47
10287281,56.98
11451300,313.389
11323500,1608.384
11109800,1100.746
11413520,1266.505
11428800,295.259
11480410,313.389
11399500,1276.865
11414100,82.103
11441500,71.225
11230000,442.888
11270000,2685.82
11278000,203.055
11293372,41.699
11314500,440.298
11460500,94.794
11420500,184.666
11122000,559.438
07124410,1743.063
01043500,1344.205
07344210,8917.336
11162753,77.182
11174000,95.83
01447800,751.097
01563200,2486.39
01470960,453.248
01019000,580.158
01382385,147.888
01382210,70.966
01383500,70.189
01378500,292.669
02382500,1349.385
05126210,2167.822
11451000,1367.515
02077670,138.564
05017500,712.247
10301720,7179.452
02090380,416.988
01581920,211.084
01591610,203.573
05425912,406.628
01597500,274.539
05058000,19347.225
03322485,292.669
03121500,181.299
12301933,23307.32
13081500,40662.843
14145500,1015.276
14169000,652.677
12039500,683.757
12035400,106.967
12342500,821.027
13183000,28904.288
05050000,3004.388
06038500,2411.281
09123450,274.539
06307500,4620.542
03106300,133.384
08317400,38590.851
08287000,5560.709
11058837,6.682
01017500,5959.567
01017060,14.815
01018035,660.447
01018000,453.248
01011500,1357.155
01030500,3675.196
01031500,766.637
01030000,8047.099
01058500,849.517
01068980,58.016
109650657,5.543
01170500,20357.321
01172010,21579.797
01165300,52.577
01176780,35.224
01194000,52.059
01183994,27.972
01104370,26.418
01115110,16.136
01126923,10.541
11277914,14.685
11277905,45.584
01195200,16.964
01199000,1642.054
01211600,30.303
01161000,1087.796
11058756,14.789
01041000,3284.107
01065500,1170.675
01078000,222.221
01141500,336.699
01185500,237.502
01015800,2315.451
01017960,226.365
01012500,12983.62
01015000,21815.486
01028000,5477.829
01029200,450.658
01034500,16632.916
01047150,8433.007
01058005,123.543
01056505,47.397
01064158,71.484
01065000,854.697
01072100,279.719
01072800,206.94
01072870,190.623
01076500,1610.974
01075500,152.291
01085000,953.116
01084500,143.485
01085500,1105.926
01083000,113.96
01097380,124.32
01097480,90.909
01090800,163.428
01100000,12004.604
01081500,3903.115
01138500,6847.934
01144000,1787.093
01156500,16228.877
01157000,184.148
01158600,122.248
01194500,57.757
01180500,136.492
01187300,51.541
01186500,220.149
01104615,701.887
01112500,1077.436
01111050,147.629
01109000,112.147
01124151,445.478
01123360,162.133
01119820,63.973
01198000,132.089
01203805,69.412
01205600,87.542
01206500,62.937
01013500,2253.291
01012515,32.634
01017000,4281.253
01034000,3009.568
01031450,246.049
01036000,17485.022
01035000,769.227
01037000,505.048
01042500,4118.084
01044550,515.408
01049550,61.383
01049000,1481.474
01048220,50.764
01049500,559.438
01049396,35.483
01049373,84.693
01049270,7.381
01047000,911.676
01049221,0.57
01054000,3524.976
01052500,393.678
01059090,23.155
01054200,181.558
01055220,215.228
01057510,78.477
01056400,20.746
01054500,5353.509
01021000,3537.926
01020000,3405.837
01021480,77.441
01022250,23.698
01022500,587.928
01025000,121.73
01038000,378.139
01060000,367.779
01064000,1142.186
01063100,388.498
01067500,4131.034
10642505,235.689
01064801,175.083
01066500,435.118
01064800,14.012
01069500,255.891
01073460,92.204
01076000,370.369
01081000,1219.885
01079602,16.524
01084000,141.931
01085800,14.892
01096000,170.68
01094500,284.899
01095375,119.917
01095000,5.05
01099500,1035.996
01096885,227.919
01096840,166.277
01098530,274.539
01098500,45.325
01098340,8.91
01097300,33.152
10965995,17.172
01096835,156.694
01090500,7391.831
01091000,269.359
01100561,160.838
10965844,78.477
10965817,61.901
01093875,308.209
01100568,5.517
01100627,188.551
01100600,94.535
01089100,212.12
01130000,600.878
01129200,657.857
01129300,220.149
01134800,20.849
01141800,11.914
01143500,1693.853
01142000,624.188
01153000,409.218
01150800,8.573
01150500,396.268
01152500,696.707
01153550,290.079
01153500,266.769
01156000,797.717
01154500,14226.815
01155200,25.9
01172003,21520.227
01172000,21520.227
01171300,107.485
01158110,297.849
01171800,14.4
01166500,963.476
01163200,88.319
01163000,51.8
01162000,211.861
01166105,13.52
01161500,46.102
01170000,1442.624
01168151,657.857
01175670,22.818
01173500,510.228
01174900,6.604
01174565,32.634
01174000,8.78
01174050,12.561
01177000,1784.503
01174500,113.183
01193500,258.999
01192500,190.105
01184280,70.189
01190055,30.821
01191500,187.774
01178000,85.988
01183950,6.527
01190600,14.349
01190620,18.052
01184000,25019.303
01183500,1287.225
01178500,284.899
01180800,7.615
01189995,1494.424
01189000,118.622
01189210,27.713
01186100,47.915
01187800,60.865
01185100,42.735
01189200,13.287
01189500,174.565
01100890,17.146
01102000,323.749
01104500,650.087
01104440,21.937
01103305,217.559
01103280,170.162
11055566,261.589
01105500,70.448
01105608,32.375
01105600,11.655
01105583,74.333
01104850,15.54
01104405,5.594
01101400,34.447
01104480,61.383
01105730,78.477
01105895,145.298
01105917,62.16
01105700,11.137
01113760,69.671
01112268,85.729
01110000,66.304
01111225,18.803
01113695,9.194
01109730,184.925
01109500,81.844
01109439,47.138
01111000,75.369
01111500,236.207
01111410,49.728
01111400,45.066
01109220,80.031
01109200,11.266
01117000,59.311
01116905,41.44
01114500,99.197
01116300,10.852
01115500,264.179
01115276,13.416
01115187,37.296
01115190,12.691
01115114,12.173
01115098,12.846
01115100,7.925
01115170,8.417
01116000,162.651
01115900,23.647
01115770,18.985
01109070,27.454
01108500,50.505
01106500,104.895
01107000,12.095
01109090,10.956
01118500,761.457
01117410,84.822
01118000,187.515
01117800,91.168
11173545,9.79
01127000,1846.663
01125415,52.318
01125500,849.517
01126600,44.03
01125600,28.749
01123600,244.495
